e2008g,latitude,longitude,treated,age,black,hisp,dem,female,lat_cutoff,long_cutoff,dist1,dist2,dist3,perp_dist,long_border,lat_border
1,40.2903,-74.59529999999999,1,70,0,0,0,0,,,4.296820610485308,3.412533215927455,2.757980338295188,1.973629232816241,-74.6231373281,40.3321569065
1,40.2977,-74.61969999999999,1,67,0,0,0,1,,,3.027300458814464,2.876938474112017,3.0396509057845,2.56628262883675,-74.62354231880001,40.3313199891
1,40.2962,-74.6062,1,54,0,0,0,0,,,3.340623540475192,2.698410482361165,2.413156311774436,2.165984238612131,-74.6240922245,40.3305256774
1,40.2979,-74.6317,1,45,0,0,0,1,,,3.22153041888228,3.467304493656669,3.871114393583526,3.053340970761111,-74.6241133007,40.3296418943
1,40.3197,-74.66030000000001,1,88,0,0,0,1,,,3.641459942522122,4.828966049152339,5.822027928014064,3.246619572949106,-74.6240642221,40.3289564203
0,40.3191,-74.6609,1,54,0,0,0,0,,,3.70272412276118,4.881323546509063,5.867116125379971,3.315064501915243,-74.6231376513,40.3286194043
1,40.2937,-74.62690000000001,1,59,0,0,1,0,,,3.551346112987018,3.575326472852737,3.79420409660234,3.303740939544507,-74.6224375326,40.3279974675
0,40.2866,-74.6311,1,24,0,0,0,0,,,4.402573465351992,4.43155556508658,4.582012759416156,4.134089982603999,-74.6224317982,40.3270969659
1,40.2745,-74.6078,1,46,0,0,0,1,,,5.668081345885119,5.11443709307125,4.697287018264639,4.016506222599563,-74.6227187874,40.3262338132
0,40.324,-74.6281,1,43,0,1,0,1,,,.8712352514528281,2.136892731179562,3.22828114378229,.4780368427160686,-74.62276041520001,40.3253533733
1,40.268,-74.6061,1,57,0,0,1,1,,,6.404423553152007,5.827923439173498,5.359471239272588,4.557204008226045,-74.62215617069999,40.3245858759
1,40.2928,-74.6071,1,51,0,0,1,1,,,3.683677002524934,3.082080278305308,2.781200546047131,2.547385575692978,-74.6211893375,40.3241939389
1,40.315,-74.63549999999999,1,59,0,0,1,1,,,1.854327406851212,2.790576439057561,3.695713417295555,1.55540591986724,-74.620079414,40.324445018
1,40.2646,-74.6173,1,50,0,0,0,1,,,6.704143387130046,6.313204691460752,6.000396922069181,5.380496989621308,-74.61906407559999,40.3248396061
1,40.3108,-74.599,1,65,0,0,1,1,,,2.240419757521177,1.126145822427964,.7589835784030466,.4444919020360591,-74.6178889242,40.3248913447
0,40.2916,-74.6327,1,48,0,0,0,1,,,3.90892786332027,4.053266911444553,4.32617830227753,3.749192882237789,-74.6167138643,40.324944215
1,40.3106,-74.5989,1,24,0,0,0,1,,,2.262055790567724,1.149935360867377,.7661890216767429,.4657932310148782,-74.6155393295,40.3250036046
1,40.281,-74.6174,1,71,0,0,1,0,,,4.880536874727785,4.537012615000121,4.351893898471391,4.03853521961374,-74.6145117335,40.3245762976
1,40.2686,-74.6151,1,28,0,0,1,1,,,6.263646303048532,5.842183009853509,5.518278718413382,4.910808681057022,-74.6135189853,40.3240939867
0,40.3134,-74.6195,1,56,0,0,0,1,,,1.284920915726986,1.573530723591241,2.345652674600994,1.207137249104745,-74.6125617618,40.3236093109
1,40.3,-74.5842,1,49,0,0,0,0,,,3.977374449181726,2.786804434366774,1.788216543261702,.5467726157273407,-74.611429641,40.3233627233
1,40.2799,-74.575,1,57,0,0,0,1,,,6.185082972847159,5.101919131703828,4.154787920662584,2.361052464997537,-74.6102977637,40.323115515
0,40.3046,-74.5869,1,21,0,0,0,0,,,3.463220998600512,2.240468396008695,1.228696014759126,.3888217724256171,-74.60931325049999,40.3226663354
1,40.3143,-74.6177,1,63,0,0,1,1,,,1.177678953289772,1.39146846740518,2.187793344633557,1.122181780463341,-74.6083762424,40.3221318945
1,40.3198,-74.6601,1,62,0,0,0,0,,,3.622963462656987,4.811849334809706,5.806155042450693,3.226982735113841,-74.60755421730001,40.321520046
1,40.2759,-74.6071,1,43,0,0,0,0,,,5.523763576750016,4.955035726385978,4.531138818417468,3.85512183717247,-74.60655077529999,40.3213481583
