X1,T,D,Y,icfes_female,icfes_age,icfes_urm,icfes_stratum,icfes_famsize
-16.92999938964844,0,0,1,0,17,1,2,6
-15.34000305175781,0,0,0,0,17,0,2,4
-17.15000061035156,0,0,1,0,17,0,3,4
44.19999977111816,1,0,0,0,16,0,2,5
-17.38999908447266,0,0,0,0,15,1,1,4
-16.49999969482422,0,0,1,0,16,0,2,4
32.64000030517578,1,1,1,0,16,0,2,4
-16.44999664306641,0,0,1,0,17,0,2,3
-1.639998474121093,0,0,0,1,16,0,2,4
-11.62999633789062,0,0,1,0,17,0,2,3
-5.199999847412109,0,0,0,1,16,0,4,2
-7.900000610351562,0,0,1,1,16,0,2,4
27.86999984741211,1,0,1,1,17,0,2,4
-7.929999389648437,0,0,1,0,16,0,2,3
-16.37999694824219,0,0,1,0,17,0,3,4
-5.370001831054687,0,0,0,0,16,0,2,4
32.85999961853027,1,0,1,0,15,0,2,4
-7.989996948242187,0,0,1,0,16,0,3,3
-22.16000274658203,0,0,1,0,16,0,3,5
-18.66000274658203,0,0,0,0,17,0,3,3
-7.900000610351562,0,0,0,1,16,0,3,4
-21.35999969482422,0,0,0,1,16,0,3,5
-18.09000305175781,0,0,1,0,16,0,3,4
11.61000091552734,1,1,1,0,16,0,1,4
-7.039999999999999,0,0,0,0,17,0,3,4
-17.60999969482422,0,0,1,0,17,0,3,4
3.77999969482422,1,0,0,1,16,0,2,2
-25.05999725341797,0,0,0,0,16,0,2,2
23.61000152587891,1,0,0,0,15,0,2,5
-13.95999816894531,0,0,0,1,17,0,2,4
-12.19000213623047,0,0,1,1,16,0,4,5
30.37,1,1,1,1,16,0,2,4
16.77000076293945,1,1,1,1,16,0,2,4
-21.61999893188477,0,0,0,0,21,0,4,3
7.340000457763672,1,1,1,1,15,0,1,4
-19.26999633789062,0,0,0,1,16,0,2,5
-10.15000061035156,0,0,1,0,16,0,2,6
-18.81000137329102,0,0,1,0,16,0,2,4
-4.139998474121093,0,0,1,0,17,0,2,4
29.95,1,1,1,0,17,0,1,3
39.06000038146973,1,0,1,0,17,0,1,3
-15.99999969482422,0,0,0,0,15,0,3,4
-18.95000366210937,0,0,0,1,17,0,3,4
6.270001373291016,1,0,1,0,16,0,3,6
-8.179999389648437,0,0,1,0,15,0,1,4
26.91999908447266,1,0,0,1,17,0,3,4
30.27999908447266,1,0,0,0,17,1,1,5
-12.26000122070312,0,0,1,1,15,1,2,5
-12.18,0,0,0,1,17,0,3,3
-16.34000305175781,0,0,0,0,17,0,3,3
-17.60999969482422,0,0,1,0,18,0,3,4
16.4699983215332,1,1,1,0,16,0,2,3
-1.639998474121093,0,0,1,0,16,0,2,5
20.63,1,1,1,1,15,0,1,3
-3.190001525878905,0,0,1,0,16,0,2,4
.1700000000000017,1,1,1,0,16,0,2,5
-1.13000015258789,0,0,1,1,15,0,2,4
5.020001373291016,1,1,1,0,17,0,3,8
-15.62000183105469,0,0,1,1,16,0,2,5
-4.850001373291015,0,0,0,0,16,0,1,4
11.94000053405762,1,0,0,0,16,0,2,2
-5.229999237060547,0,0,1,1,17,0,3,2
-10.16000335693359,0,0,0,1,16,0,2,5
6.470001525878907,1,1,1,0,15,0,,
-5.089999237060546,0,0,1,0,16,0,2,5
23.3700008392334,1,1,1,0,17,0,1,5
6.180001220703126,1,0,1,1,16,0,4,5
-3.249999084472655,0,0,1,0,16,0,2,5
25.88000007629395,1,0,1,0,18,0,2,3
-12.80000274658203,0,0,1,1,16,0,2,3
-16.48999694824219,0,0,1,0,15,0,2,4
-17.23999755859375,0,0,0,1,16,0,2,4
12.3,1,1,1,0,16,0,2,2
-7.900000610351562,0,0,1,0,16,0,3,4
-18.66000274658203,0,0,0,0,17,0,4,4
-2.889998474121093,0,0,1,0,17,0,2,4
-3.679999389648437,0,0,1,0,16,0,3,5
-11.73000244140625,0,0,0,0,16,0,2,3
-2.060000457763671,0,0,0,0,17,0,2,3
-14.47000091552734,0,0,0,0,16,0,2,4
-22.37999694824219,0,0,1,0,16,0,2,4
-14.01000183105469,0,0,0,0,15,0,2,5
-10.80999725341797,0,0,1,0,16,0,1,2
-7.270003356933593,0,0,1,0,16,0,2,3
3.590001068115235,1,1,1,0,17,0,1,2
-7.93,0,0,1,0,16,0,3,5
-3.540000610351562,0,0,0,0,17,0,2,3
-16.34000305175781,0,0,1,1,16,0,3,6
-4.420001068115234,0,0,0,1,17,0,2,3
.4599993896484378,1,0,0,0,17,0,3,3
19.14999862670899,1,0,1,1,16,0,1,3
-18.5099983215332,0,0,1,0,17,0,3,3
17.64,1,1,1,1,16,1,2,4
-22.16999786376953,0,0,1,0,17,0,2,4
9.250000915527345,1,1,1,1,16,0,2,6
2.180001220703126,1,1,1,0,16,0,4,4
-20.20999877929687,0,0,1,0,16,0,3,4
-2.819998779296874,0,0,0,1,16,0,2,5
-16.34000305175781,0,0,1,0,16,0,3,3
-15.30000274658203,0,0,0,1,17,0,3,4
-5.22000030517578,0,0,0,0,16,0,3,4
12.77000076293945,1,1,1,0,16,0,2,5
-6.339999237060546,0,0,1,0,16,0,2,4
-3.039999999999999,0,0,1,0,16,0,3,5
-3.849998168945312,0,0,1,1,16,0,3,4
18.02000045776367,1,0,1,0,16,0,2,7
-33.23000335693359,0,0,1,1,15,0,2,4
11.78,1,1,1,1,16,0,2,6
38.49000007629395,1,1,1,0,16,0,1,4
-26.05999725341797,0,0,1,0,15,0,3,4
33.44999977111816,1,1,1,0,15,0,3,5
-10.23999694824219,0,0,0,0,15,0,2,3
25.26999946594238,1,0,1,0,17,0,,
-28.23000305175781,0,0,0,0,16,0,2,5
-5.720000915527343,0,0,0,1,16,0,1,2
-14.06999877929687,0,0,1,0,17,0,2,3
1.020001373291016,1,1,1,1,16,0,3,4
-12.80999664306641,0,0,1,0,17,0,2,5
26.36000091552734,1,1,1,1,17,1,2,2
-3.13000015258789,0,0,1,1,16,0,3,2
-17.90000061035156,0,0,1,0,17,0,3,6
-15.31999938964844,0,0,1,0,15,0,3,5
-10.48000244140625,0,0,0,0,16,0,3,12
.189999542236329,1,0,1,1,16,0,3,5
9.020001373291016,1,1,1,0,16,0,2,4
18.59000045776367,1,0,1,0,16,0,3,4
-2.819998779296874,0,0,0,1,17,1,2,5
22.11999984741211,1,0,1,0,16,0,2,4
-4.270000457763672,0,0,1,1,16,0,3,2
-20.59999755859375,0,0,0,1,15,0,2,4
-10.79000061035156,0,0,1,1,16,0,3,4
-3.279998474121093,0,0,0,0,16,0,2,5
28.80000019073486,1,1,1,0,17,0,1,4
-8.819999389648437,0,0,0,0,16,0,2,3
-2.199999847412109,0,0,1,1,15,0,3,5
-20.97000030517578,0,0,1,0,16,1,2,5
16.07000061035156,1,1,1,0,18,0,2,8
10.13000137329102,1,0,1,0,16,0,1,5
5.520001373291016,1,1,1,0,16,0,2,6
-19.52000335693359,0,0,0,0,16,0,3,4
.439999542236329,1,0,1,0,17,0,2,7
37.07,1,1,1,1,17,0,2,2
1.610001525878907,1,0,0,0,15,0,2,6
-7.859999694824218,0,0,0,1,16,0,4,4
14.39000030517578,1,0,0,1,18,0,3,4
-28.41999786376953,0,0,0,1,16,0,2,2
-10.20000366210937,0,0,1,1,16,0,1,4
.5099986267089847,1,1,1,1,16,0,2,3
